Date,Event,Location,Venue,Type
Date:,Event:,Location:,Venue:,['Type:']
25.01.2020,Anima - Exhibition by Dione Borg at MSA,Valletta,Malta Society of...,"['Arts', 'Culture']"
25.01.2020,Digital Marketing Made Simple,Ta' Xbiex,People & Co....,['Learning']
24.01.2020,Valletta Baroque Festival 2020,Valletta,Manoel Theatre,['Music']
25.01.2020,Surf & Turf at Fra Martino,St Julians,Corinthia Hotel...,['Special Events']
25.01.2020,The Whisky Festival 2020,Siggiewi,Limestone Heritage,['Special Events']
25.01.2020,Gran Partita,Floriana,Robert Samut Hall,['Music']
25.01.2020,ANNUAL BURNS SUPPER AT BALLUTA BAR,Sliema,Balluta Bar,"['Arts', 'Culture']"
26.01.2020,Sunday Buffet Lunch at Fra Martino,St Julians,Corinthia Hotel...,['Special Events']
27.01.2020,"Conference on Computer Vision, Imaging &amp; Computer Graphics Theory (ins) AS",Valletta,The Pub,['Special Events']
25.01.2020,Anima - Exhibition by Dione Borg at MSA,Valletta,Malta Society of...,"['Arts', 'Culture']"
27.01.2020,The Malta Catering Expo 2020,Ta' Qali,MFCC Malta Fairs...,['Special Events']
27.01.2020,"Conference on Computer Vision, Imaging &amp; Computer Graphics Theory (ins) AS",Valletta,The Pub,['Special Events']
25.01.2020,Anima - Exhibition by Dione Borg at MSA,Valletta,Malta Society of...,"['Arts', 'Culture']"
27.01.2020,The Malta Catering Expo 2020,Ta' Qali,MFCC Malta Fairs...,['Special Events']
28.01.2020,Overcome Your Fears of Public Speaking in a Quick and Fun Way!,Sta Venera,Malta Information...,['Learning']
28.01.2020,Master Public Speaking Skills!,Sta Venera,MITA Data Centre,['Learning']
28.01.2020,Brazilian Zouk - Beginner Class with Bea,Msida,dance college...,['Dance']
27.01.2020,"Conference on Computer Vision, Imaging &amp; Computer Graphics Theory (ins) AS",Valletta,The Pub,['Special Events']
25.01.2020,Anima - Exhibition by Dione Borg at MSA,Valletta,Malta Society of...,"['Arts', 'Culture']"
27.01.2020,The Malta Catering Expo 2020,Ta' Qali,MFCC Malta Fairs...,['Special Events']
29.01.2020,Maltese Night at Fra Martino,St Julians,Corinthia Hotel...,['Special Events']
29.01.2020,Bellydance Classes,Msida,dance college...,['Learning']
29.01.2020,Connections - Creatives Networking Evenings,Valletta,The Beer Cave,"['Arts', 'Culture']"
25.01.2020,Anima - Exhibition by Dione Borg at MSA,Valletta,Malta Society of...,"['Arts', 'Culture']"
27.01.2020,The Malta Catering Expo 2020,Ta' Qali,MFCC Malta Fairs...,['Special Events']
30.01.2020,English Cafe: Make friends & speak English,St Julians,Me Lounge,['Special Events']
30.01.2020,Jeudi Jazz,Valletta,OffBeat Music Bar,['Music']
25.01.2020,Anima - Exhibition by Dione Borg at MSA,Valletta,Malta Society of...,"['Arts', 'Culture']"
24.01.2020,Train the Trainer - Vocational Training Qualification,Ta' Xbiex,People & Co....,['Learning']
31.01.2020,The Importance of Being Earnest,Valletta,Manoel Theatre,['Theatre']
31.01.2020,Beloved Soprano Arias and Duets,Valletta,St Augustine...,['Music']
1.02.2020,Webtalk Invite Day - Valletta - Malta,Valletta,Upper Barrakka...,['Blockchain & Tech']
1.02.2020,Cleaun up yacht charter by Holidays in Malta ltd,Pieta,Marina di Valletta,['Special Events']
1.02.2020,Valletta 300m Zipline,Valletta,Valletta,['Sports']
1.02.2020,ŻiguŻajg Season: Kids Dig Science,Valletta,St. James Cavalier,['Kids']
1.02.2020,"Diploma in Adult Education, Training & Development",Msida,University of Malta,['NONE']
25.01.2020,Surf & Turf at Fra Martino,St Julians,Corinthia Hotel...,['Special Events']
1.02.2020,The 20th Century Clarinet (Clarinet Recital),Valletta,Palazzo De La Salle,['Music']
31.01.2020,The Importance of Being Earnest,Valletta,Manoel Theatre,['Theatre']
2.02.2020,Challenge walk around malta tail,Mellieha,St Agatha's...,['Sports']
26.01.2020,Sunday Buffet Lunch at Fra Martino,St Julians,Corinthia Hotel...,['Special Events']
31.01.2020,The Importance of Being Earnest,Valletta,Manoel Theatre,['Theatre']
3.02.2020,PRINCE2 - Foundation & Practitioner (Project Management),Ta' Xbiex,People & Co....,['Learning']
3.02.2020,PRINCE2 - Foundation & Practitioner (Project Management),Ta' Xbiex,People & Co....,['Learning']
4.02.2020,Human Resources Foundations,Ta' Xbiex,People & Co....,['Learning']
3.02.2020,PRINCE2 - Foundation & Practitioner (Project Management),Ta' Xbiex,People & Co....,['Learning']
5.02.2020,Southern Depth and Northern Lights: Different Likeness,Valletta,Malta Society of...,"['Arts', 'Culture']"
29.01.2020,Maltese Night at Fra Martino,St Julians,Corinthia Hotel...,['Special Events']
29.01.2020,Bellydance Classes,Msida,dance college...,['Learning']
3.02.2020,PRINCE2 - Foundation & Practitioner (Project Management),Ta' Xbiex,People & Co....,['Learning']
6.02.2020,Movimento,Valletta,MUZA - The Malta...,['Theatre']
30.01.2020,English Cafe: Make friends & speak English,St Julians,Me Lounge,['Special Events']
30.01.2020,Jeudi Jazz,Valletta,OffBeat Music Bar,['Music']
24.01.2020,Train the Trainer - Vocational Training Qualification,Ta' Xbiex,People & Co....,['Learning']
3.02.2020,PRINCE2 - Foundation & Practitioner (Project Management),Ta' Xbiex,People & Co....,['Learning']
31.01.2020,The Importance of Being Earnest,Valletta,Manoel Theatre,['Theatre']
7.02.2020,Kinky Boots,St Julians,Eden Cinemas,['Theatre']
8.02.2020,Strauss Composer and Conductor,Valletta,Mediterranean...,['Music']
25.01.2020,Surf & Turf at Fra Martino,St Julians,Corinthia Hotel...,['Special Events']
31.01.2020,The Importance of Being Earnest,Valletta,Manoel Theatre,['Theatre']
